genotypes-garri,LOCATION,fresh ROOT WT. , WT OF PEELED ROOT. ,WT OF PEEL,WT OF DEWATERED MASH  ,WT OF CHAFF,TOASTED GARRI,GARRI YIELD%,garri.yield.plot,peeled.tuber.plot.kg,dewatered.mash.plot,chaff.plot,peel.plot,fresh.storage.root.weight.harvested,fresh weight per.netplot.kg,fry.ha,marketable.root.number,marketable.root.weight.kg,plant.stands.harvested,root.color,root.number,storage.root.shape,weight.in.air,weight.in.water,spg,dmc,starch,dmcov
IITA-TMS-IBA30572,umudike,4,3.2,0.83,1.5,0.08,0.79,19.75,2,8.11,3.8,0.20,2.11,5.7,10.1,12.7,9.5,4.1,4.5,1,18,2.5,2075,175,1.09,30.9,16.85,31.12
NR17C2aF10P002,umudike,10,8.2,2.05,4.3,0.53,2.2,22,4.29,16.01,8.39,1.03,4,12.2,19.5,24.4,18,10.2,5,2,31,2.5,2540,205,1.09,31.06,17.06,33.07
NR17C2aF10P017,umudike,9,7,2.2,4.2,0.34,2.4,26.67,2.3,6.7,4.02,0.32,2.11,7,8.6,10.8,11.5,4.1,6.5,2,37,3,1975,170,1.1,32.42,18.86,43.63
NR17C2aF10P025,umudike,6.6,5.45,1.44,3,0.42,1.35,20.51,1.8,7.27,4,0.56,1.92,5.5,8.8,11,12.5,4.9,5,1.5,18.5,3,2085,200,1.11,32.95,19.57,38.73
NR17C2aF114P002,umudike,10,7.6,2.13,4.9,0.51,2.6,26,4.16,12.16,7.84,0.82,3.41,9,16,20,15,7.3,4.5,1,27,3,2570,255,1.11,34.11,21.12,40.61
NR17C2aF121P001,umudike,8.8,7,1.91,3.2,0.32,1.54,17.45,3.35,15.27,6.98,0.70,4.16,7.2,19.2,24,13.5,6.5,3,2,20,2.5,2630,190,1.08,28.67,13.88,30.10
NR17C2aF12P001,umudike,6.9,5.3,1.64,3,0.27,1.7,24.64,3.1,9.66,5.47,0.49,2.98,11,12.6,15.7,15,9.6,7,1,25,3,3130,300,1.11,33.08,19.75,41.63
NR17C2aF13P001,umudike,6.8,5.2,1.83,3.5,0.45,1.68,24.71,1.71,5.3,3.57,0.46,1.87,6.5,6.9,8.7,9.5,4.7,7.5,2,24,3,2670,240,1.1,31.81,18.06,44.23
NR17C2aF15P016,umudike,10,8.2,1.88,4.8,0.27,2.65,26.5,5.35,16.56,9.7,0.55,3.8,10.1,20.2,25.3,13,9.75,4,1,18.5,3,3720,420,1.13,36.33,24.08,42.44
NR17C2aF16P013,umudike,10,8.2,2.2,5,0.28,2.8,28,7.17,20.99,12.8,0.72,5.63,9.6,25.6,32,12.5,8.5,3,1,18.5,3,3325,355,1.12,35.16,22.51,43.08
NR17C2aF21P004,umudike,10,7.45,2.4,4.6,0.52,2.4,24,4.37,13.57,8.38,0.95,4.37,14.8,18.2,22.8,24.5,13.1,6.5,2,35,3,2915,320,1.12,35.74,23.29,43.38
NR17C2aF28P002,umudike,9,6,3,4.2,0.53,2.1,23.33,2.48,7.08,4.96,0.62,3.54,7.3,10.6,13.3,8.5,4.9,5.5,1,19.5,3,2070,190,1.1,32.02,18.33,41.14
